"product_name","sub_category","max_price"
"Dell New Inspiron 3525 Laptop, Intel Athlon Silver 3050U, Win11 + Office'21, 8GB GDDR4, 256GB SSD, Radeon Graphics, 15.6""...",Bags & Luggage,49990.0
FLY London Women's Pump,Ballerinas,44986.5
FNKYRA FASHION BEAUTIFUL BANARASI SILK PARTY WERE SAREE,Ethnic Wear,49999.0
Venus Gems Gallery Real Diamond Ring 2 Carat Original Certified हीरे की अंगूठी VVS1 Clarity Heera Ring for Women D Color H...,Fashion & Silver Jewellery,1000000.0
DKNY Women's Comfortable Chic Shoe Jasna Flat Sandal,Fashion Sandals,25017.5
Zeel Clothing Women's Silk Semi stitched Lehenga Choli (7035_Peach_Free Size),Clothing,19999.0
Zeel Clothing Brown and Golden Zari and Sequins Work Silk Semi-Stitched Lehenga Choli (7709-Wedding-Bridal-Dulhan-Lehenga;...,Clothing,19999.0
Zeel Clothing Women's Silk Semi-Stitched Lehenga Choli (7009-Wedding-Bridal-Latest-New_Free Size),Clothing,19999.0
Zeel Clothing Women's Silk Semi-Stitched Lehenga Choli (7009-Wedding-Bridal-Latest-New_Free Size),Clothing,19999.0
LAMI Women's Lucknowi Linen Cotton Embroidery Saree White Thread Chikankari Embroidery Saree With Blouse Piece,Clothing,19999.0
Nike Air Jordan 1 Mid Mens Basketball Shoes 554724-100,Casual Shoes,62993.7
Sri Jagdamba Pearls 10 Gm 24kt (999) Yellow Gold Coin,Gold & Diamond Jewellery,700300.0
MICHAEL Michael Kors Jet Set Item East/West Top Zip Tote,Handbags & Clutches,43225.0
Bruno Magli Carlo,Formal Shoes,63893.61
ligent Heating Thermal Underwear Set 8-Zone USB Electric Heated Suit Support APP Control 5-Level Temperature Adjustment fo...,Innerwear,35092.38
AG Adriano Goldschmied Men's Tellis Modern Slim,Jeans,40495.95
USPTO डायमंड वन स्टोन D Colour Genuine 3 Carat Diamond Stone Original Certified Real Gemstone Transparent Clarity Brillian...,Jewellery,1200000.0
ECOWALSON Waist Trainer for Women Corset Cinher Body Shaper with Steel Bones and Extender,Lingerie & Nightwear,11218.0
Ethnix by Raymond Men Tunic Shirt,Shirts,24995.0
Ethnix by Raymond Men's Polyester Blend Regular Tunic Shirt (RTSB00346-YB_Beige_104),Shirts,24995.0
ECCO Exostrike Womens Outdoor Ankle Boots,Shoes,19999.0
"3NH® Men'S Fashion Outdoor Breathable Sneakers Casual Sport Comfortable Running Shoes - Dark Grey 9",Sports Shoes,66779.0
Tom Ford FT0563 18X Shiny Rhodium Jacquelyn Pilot Sunglasses Lens Category 2 Le,Sunglasses,42900.0
Ethnix by Raymond Men Tunic Shirt,T-shirts & Polos,15995.0
Movado Museum Classic Analog Multicolor Dial Women's Watch-607209,Watches,113750.0
Movado Museum Classic Analog Multicolor Dial Women's Watch-607209,Watches,113750.0
Betogen Western Dresses for Women |A-Line Knee-Length Dress | Indo Western Dress for Women,Western Wear,49999.0
