"main_category","sub_category","products_sale"
women's clothing,Clothing,17724
accessories,Bags & Luggage,16709
women's clothing,Ethnic Wear,16034
women's clothing,Western Wear,15646
accessories,Fashion & Silver Jewellery,15335
women's clothing,Lingerie & Nightwear,14714
accessories,Handbags & Clutches,13387
men's clothing,T-shirts & Polos,12956
men's clothing,Shirts,12007
men's shoes,Casual Shoes,11681
accessories,Jewellery,11552
men's clothing,Innerwear,11147
men's shoes,Sports Shoes,10971
accessories,Watches,8597
men's shoes,Formal Shoes,6352
men's clothing,Jeans,5909
accessories,Gold & Diamond Jewellery,1531
women's shoes,Shoes,1429
women's shoes,Fashion Sandals,949
women's shoes,Ballerinas,462
accessories,Sunglasses,308
